LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price(€),Ext.Price(€),Product Link
C492420,PZ254V-12-6P,XFCN,"Plugin,P=2.54mm",,"Straight Policy 2.5mm 6P 6mm -40℃~+105℃ 3mm 2.54mm Double Row Black Brass 2x3P 2.54mm Plugin,P=2.54mm Pin Headers ROHS",yes,20,20,0.0313,0.63,https://www.lcsc.com/product-detail/pin-headers_xfcn-pz254v-12-6p_C492420.html
C2685204,FH-00020,Liansheng,"Plugin,P=2.54mm",,"2.54mm 2.54mm Double Row 3A Gold 10P Brass -40℃~+105℃ Direct Insert 2x5P 8.5mm Top Square Hole Plugin,P=2.54mm Female Headers ROHS",yes,23,23,0.0540,1.24,https://www.lcsc.com/product-detail/female-headers_liansheng-fh-00020_C2685204.html
C86414,SRA-12VDC-AL,Ningbo Songle Relay,"Plugin,12.4x16mm",,"125V@AC 12V 10A 20A@14VAC One Normally Open: 1A (SPST-NO) Plugin,12.4x16mm Power Relays ROHS",yes,5,5,0.2551,1.28,https://www.lcsc.com/product-detail/power-relays_ningbo-songle-relay-sra-12vdc-al_C86414.html
C3017494,SCR0402J5K6,VO,0402,,62.5mW Thick Film Resistors 50V ±5% 5.6kΩ 0402 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0004,0.04,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_vo-scr0402j5k6_C3017494.html
C25725,4D02WGJ0103TCE,UNI-ROYAL(Uniroyal Elec),0402x4,,"4 ±5% 10kΩ 1/16W ±200ppm/℃ 0402x4 Resistor Networks, Arrays ROHS",yes,100,100,0.0040,0.40,https://www.lcsc.com/product-detail/resistor-networks-arrays_uni-royal-uniroyal-elec-4d02wgj0103tce_C25725.html
C7507438,MSK-23D18G3 051,SHOU HAN,DIP,,"Bend-in 100mA Double-edged triple throw 12V 10,000 times DIP Slide Switches ROHS",yes,5,5,0.0368,0.18,https://www.lcsc.com/product-detail/slide-switches_shou-han-msk-23d18g3-051_C7507438.html
C2685206,FH-00221,Liansheng,"Plugin,P=2.54mm",,"2.54mm 2.54mm Double Row 3A 4P -40℃~+105℃ Direct Insert 2x2P 8.5mm Top Square Hole Plugin,P=2.54mm Female Headers ROHS",yes,10,10,0.0472,0.47,https://www.lcsc.com/product-detail/female-headers_liansheng-fh-00221_C2685206.html
C2935983,DW254R-22-06-85,DEALON,"Plugin,P=2.54mm",,"2.54mm 2.54mm Double Row 3A 6P Direct Insert 2x3P 8.5mm Top Square Hole Plugin,P=2.54mm Female Headers ROHS",yes,10,5,0.0625,0.63,https://www.lcsc.com/product-detail/female-headers_dealon-dw254r-22-06-85_C2935983.html
C7496818,F.0603.00025/P2-0603G1TS2-06T-002,TUOZHAN,0603,,230mcd 520nm~525nm -40℃~+85℃ Emerald 120° 2.6V~2.9V 0603 LED Indication - Discrete ROHS,yes,100,100,0.0029,0.29,https://www.lcsc.com/product-detail/led-indication-discrete_tuozhan-f-0603-00025-p2-0603g1ts2-06t-002_C7496818.html
C965799,XL-1608SURC-06,XINGLIGHT,0603,,20mA 225mcd Colorless Transparent Lens Positive Stick 620nm~630nm Red 120° 50mW 2.3V 0603 LED Indication - Discrete ROHS,yes,100,100,0.0029,0.29,https://www.lcsc.com/product-detail/led-indication-discrete_xinglight-xl-1608surc-06_C965799.html
C965802,XL-1608UYC-06,XINGLIGHT,0603,,20mA 435mcd Colorless Transparent Lens 585nm~595nm Positive Stick Yellow 120° 50mW 2.4V 0603 LED Indication - Discrete ROHS,yes,100,100,0.0050,0.50,https://www.lcsc.com/product-detail/led-indication-discrete_xinglight-xl-1608uyc-06_C965802.html
C965800,XL-1608UOC-06,XINGLIGHT,0603,,20mA 315mcd Colorless Transparent Lens 600nm~610nm Positive Stick Orange 120° 50mW 2.3V 0603 LED Indication - Discrete ROHS,yes,100,100,0.0050,0.50,https://www.lcsc.com/product-detail/led-indication-discrete_xinglight-xl-1608uoc-06_C965800.html
C19271469,20N03,HL,TO-252,,"30V 20A 5.5W 15mΩ@10V,5A 1V 1 N-channel TO-252 MOSFETs ROHS",yes,10,10,0.0570,0.57,https://www.lcsc.com/product-detail/mosfets_hl-20n03_C19271469.html
C18164391,20P03,HL,TO-252,,30V 20A 36mΩ 2.5V 1 piece P-channel TO-252 MOSFETs ROHS,yes,10,5,0.0658,0.66,https://www.lcsc.com/product-detail/mosfets_hl-20p03_C18164391.html
